packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
73.18,13142.17,179.58,2.19,1.28,2.17,1.41,0.41,2.37,1.67,0.0,0.0,1.9,0.91,0.91,0.67,0.6667
120.4,10442.21,86.73,1.35,0.44,1.58,1.0,0.0,2.66,0.44,0.0,0.0,1.32,0.91,0.91,0.0,0.8182
49.03,54262.64,1106.76,0.94,1.27,1.36,1.28,0.3,0.77,4.8,1.0,1.0,1.74,0.15,0.15,3.63,0.1358
46.52,17578.02,377.86,1.42,1.59,1.46,1.44,0.0,3.66,3.98,0.0,0.0,2.2,0.42,0.42,2.4,0.0971
45.94,6110.14,133.02,1.47,1.0,1.49,1.63,0.1,5.83,1.82,1.0,1.0,2.17,0.62,0.62,0.89,0.1728
49.26,15381.15,312.22,1.55,1.54,1.72,1.57,0.09,3.68,4.25,1.0,1.0,2.49,0.48,0.47,2.77,0.0598
44.11,17353.46,393.39,1.53,1.44,1.57,1.86,0.05,3.9,3.7,0.0,0.0,2.43,0.49,0.49,2.29,0.2114
50.08,3693.03,73.74,0.9,0.0,0.91,0.0,0.0,6.28,0.0,0.0,0.0,2.13,0.9,0.9,0.0,0.1378
44.37,20921.66,471.51,1.56,1.55,1.73,1.5,0.1,3.48,4.0,1.0,0.0,2.25,0.48,0.48,2.49,0.1357
43.68,16499.68,377.75,1.37,1.27,1.67,1.42,0.09,4.72,2.55,1.0,0.0,2.21,0.36,0.36,1.34,0.218
33.94,22350.93,658.54,1.5,1.71,1.45,1.41,0.19,2.27,4.92,1.58,0.92,2.06,0.44,0.44,3.28,0.2313
49.29,15958.38,323.73,1.73,1.49,1.46,0.87,0.13,4.57,3.39,1.58,0.0,2.17,0.66,0.66,1.96,0.1577
52.96,5808.8,109.68,1.03,0.24,1.43,1.11,0.05,6.55,0.23,0.0,0.0,2.53,0.79,0.79,0.04,0.1777
