packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
60.77,4270.75,70.28,2.8,2.84,2.81,2.85,1.0,3.62,3.43,0,0,2.41,0.27,0.08,0.6,0.056
83.75,6894.83,82.32,2.98,3.06,3.0,3.07,0.96,4.27,4.35,0,0,2.72,0.29,0.13,1.29,0.0185
86.2,6657.88,77.24,2.99,3.06,2.95,2.95,0.95,4.19,4.18,0,0,2.67,0.29,0.13,1.11,0.009
79.7,6943.92,87.13,2.98,3.07,3.04,2.98,0.95,4.16,4.14,0,0,2.65,0.29,0.13,1.07,0.0756
82.91,7824.73,94.37,2.99,3.08,2.87,2.9,0.96,4.19,4.14,0,0,2.52,0.28,0.14,1.06,0.0343
86.27,6638.15,76.95,2.82,3.06,2.59,2.67,0.99,3.7,3.7,0,0,2.11,0.18,0.15,0.64,0.0266
84.46,7789.44,92.22,2.9,3.08,1.99,1.99,0.97,3.8,3.8,0,0,2.33,0.23,0.16,0.72,0.0183
80.56,6560.98,81.44,2.86,3.07,2.95,2.92,0.98,3.72,3.72,0,0,2.17,0.2,0.15,0.65,0.0128
58.34,5052.67,86.61,2.88,3.07,2.85,2.92,0.96,3.77,3.74,0,0,2.3,0.23,0.15,0.67,0.1509
79.01,6544.11,82.83,2.84,3.07,2.93,3.01,0.96,3.76,3.77,0,0,2.2,0.19,0.15,0.7,0.1008
74.48,5941.36,79.78,2.85,3.07,2.91,3.01,0.97,3.75,3.77,0,0,2.22,0.2,0.16,0.7,0.1005
81.75,7997.09,97.82,2.91,3.07,2.88,2.77,0.96,3.94,3.87,0,0,2.33,0.24,0.16,0.8,0.0285
68.91,5318.76,77.18,2.86,3.07,3.09,2.87,0.97,3.85,3.77,0,0,2.23,0.2,0.15,0.7,0.1246
68.26,5522.27,80.9,2.97,3.09,2.72,2.67,0.95,4.25,4.25,0,0,2.46,0.29,0.16,1.15,0.0555
83.89,6350.31,75.7,2.99,3.06,2.91,2.82,0.97,4.55,4.16,0,0,2.51,0.29,0.17,1.1,0.0423
82.7,6725.21,81.32,2.97,3.06,2.64,2.7,0.96,4.42,4.42,0,0,2.7,0.3,0.14,1.36,0.0527
71.68,6030.44,84.13,2.96,3.08,2.74,2.61,0.97,4.41,4.34,0,0,2.63,0.27,0.15,1.25,0.0315
85.63,7350.64,85.85,2.96,3.08,2.75,2.9,0.97,4.41,4.38,0,0,2.47,0.26,0.13,1.3,0.0294
60.86,4821.42,79.22,2.95,3.07,2.99,3.09,0.97,4.37,4.26,0,0,2.32,0.27,0.14,1.19,0.0561
83.0,7845.81,94.53,2.99,3.07,2.86,2.92,0.94,4.51,4.49,0,0,2.75,0.29,0.13,1.42,0.0235
95.39,7607.12,79.75,3.0,3.09,2.98,2.91,0.95,4.64,4.5,0,0,2.53,0.27,0.13,1.41,0.0228
88.37,7007.76,79.3,2.96,3.07,2.9,2.84,0.96,4.42,4.51,0,0,2.66,0.27,0.13,1.43,0.0227
99.59,8658.6,86.95,3.0,3.07,2.92,3.07,0.94,4.24,4.24,0,0,2.49,0.28,0.13,1.17,0.032
88.65,6826.01,77.0,2.83,2.92,2.88,2.91,0.98,3.64,3.45,0,0,2.57,0.28,0.09,0.53,0.0347
81.65,7269.58,89.03,2.99,3.06,3.01,3.08,0.96,4.27,4.25,0,0,2.7,0.29,0.13,1.18,0.0123
61.43,5050.52,82.22,2.97,3.07,3.01,3.03,0.96,4.24,4.14,0,0,2.67,0.28,0.13,1.07,0.0515
86.94,7364.67,84.71,2.98,3.08,2.98,3.08,0.96,4.38,4.22,0,0,2.61,0.28,0.13,1.14,0.0061
84.88,7319.46,86.24,2.99,3.07,2.8,2.78,0.95,4.17,4.19,0,0,2.64,0.29,0.13,1.12,0.0089
80.13,6494.71,81.05,2.99,3.06,2.94,2.99,0.95,4.16,4.21,0,0,2.64,0.3,0.14,1.15,0.0278
82.93,6569.41,79.21,2.98,3.06,2.89,2.92,0.96,4.16,4.13,0,0,2.64,0.29,0.13,1.06,0.0371
90.48,9047.54,100.0,2.92,3.09,2.81,2.96,0.96,3.92,3.91,0,0,2.3,0.24,0.15,0.82,0.0446
81.81,6311.89,77.16,2.84,3.07,2.92,2.95,0.99,3.73,3.73,0,0,2.13,0.19,0.16,0.66,0.0352
88.4,8376.72,94.76,2.91,3.08,2.86,2.87,0.96,3.82,3.83,0,0,2.32,0.24,0.16,0.75,0.0389
69.78,6033.48,86.46,2.89,3.07,2.94,3.07,0.96,3.75,3.79,0,0,2.34,0.23,0.16,0.72,0.0674
83.67,6858.16,81.97,2.87,3.08,2.75,2.97,0.97,3.88,3.8,0,0,2.19,0.21,0.16,0.72,0.0369
