packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
70.82,30060.37,424.49,2.18,0.85,2.2,0.83,1.16,0,0,7.29,0.0,3.85,1.34,2.18,0.0,0.0337
52.75,19461.79,368.97,3.26,1.01,3.81,0.49,1.47,0,0,6.87,0.0,3.93,2.24,3.23,0.0,0.0426
65.69,27818.87,423.49,1.98,0.8,3.17,0.89,1.01,0,0,7.22,0.0,3.64,1.18,1.95,0.0,0.0277
44.44,20141.7,453.21,1.15,0.56,2.37,0.98,0.72,0,0,6.68,0.0,3.36,0.59,1.15,0.0,0.1015
53.45,22783.0,426.22,1.93,0.78,4.79,0.82,1.04,0,0,6.91,0.0,3.65,1.15,1.93,0.0,0.0642
59.71,27801.24,465.64,1.05,0.56,2.49,0.88,0.74,0,0,7.05,0.0,3.47,0.48,1.05,0.0,0.0687
54.56,23324.41,427.51,1.8,0.75,3.79,0.9,0.99,0,0,6.96,0.0,3.59,1.05,1.8,0.0,0.0597
67.7,28664.93,423.4,1.48,0.75,3.01,0.76,1.04,0,0,6.98,0.0,3.58,0.73,1.48,0.0,0.008
68.75,27902.74,405.87,2.18,0.91,3.91,0.99,1.28,0,0,6.9,0.0,3.94,1.27,2.18,0.0,0.0278
62.43,29476.12,472.16,0.61,0.35,2.11,0.96,0.42,0,0,7.14,0.0,3.21,0.26,0.61,0.0,0.0467
44.41,14282.96,321.6,2.91,1.0,2.3,0.92,1.58,0,0,5.49,0.0,3.88,1.91,2.91,0.0,0.0452
60.79,26339.61,433.28,1.68,0.71,2.14,0.86,0.91,0,0,7.09,0.0,3.43,0.97,1.68,0.0,0.0618
68.87,30162.78,437.96,1.62,0.69,4.03,0.44,0.79,0,0,7.28,0.0,3.45,0.93,1.62,0.0,0.0554
59.6,26481.69,444.34,1.62,0.69,3.89,0.64,0.9,0,0,7.14,0.0,3.63,0.93,1.62,0.0,0.0383
76.81,30086.79,391.72,2.78,0.91,5.48,0.69,1.29,0,0,7.37,0.0,3.79,1.86,2.78,0.0,0.0343
65.9,27977.46,424.54,1.92,0.76,5.27,0.26,1.03,0,0,7.25,0.0,3.58,1.16,1.92,0.0,0.0266
65.98,27776.26,421.0,1.97,0.78,5.26,1.0,1.02,0,0,7.27,0.0,3.61,1.2,1.97,0.0,0.1183
71.68,33034.53,460.86,0.9,0.47,2.36,0.95,0.6,0,0,7.48,0.0,3.32,0.44,0.9,0.0,0.0381
72.69,28237.21,388.47,2.29,0.91,3.55,1.0,1.31,0,0,6.99,0.0,3.85,1.38,2.29,0.0,0.0513
75.02,30995.51,413.17,2.22,0.84,4.47,0.97,1.15,0,0,7.52,0.0,3.78,1.39,2.22,0.0,0.0774
70.39,26161.84,371.69,3.06,1.01,4.41,1.05,1.48,0,0,7.12,0.0,4.1,2.05,3.03,0.0,0.0516
59.38,20056.56,337.74,4.15,1.03,4.94,0.65,1.61,0,0,7.2,0.0,3.98,3.12,4.13,0.0,0.0405
73.33,27815.04,379.32,3.23,0.96,4.61,0.58,1.46,0,0,7.5,0.0,3.93,2.27,3.23,0.0,0.0664
70.76,25129.34,355.15,3.9,1.0,5.25,0.99,1.69,0,0,7.41,0.0,4.27,2.9,3.9,0.0,0.0306
69.66,25357.4,364.03,3.51,0.99,5.7,0.99,1.58,0,0,7.44,0.0,4.08,2.53,3.51,0.0,0.0205
53.32,20612.28,386.55,3.29,0.98,4.72,0.99,1.46,0,0,7.09,0.0,4.12,2.31,3.29,0.0,0.044
54.34,22830.06,420.13,2.02,0.8,3.74,1.0,1.04,0,0,7.05,0.0,3.67,1.22,2.02,0.0,0.1372
57.58,22494.64,390.68,2.69,0.91,5.34,0.9,1.34,0,0,7.2,0.0,3.75,1.78,2.69,0.0,0.0398
80.6,30368.88,376.77,3.47,0.98,5.52,0.97,1.47,0,0,7.68,0.0,4.03,2.5,3.47,0.0,0.0988
58.52,21934.16,374.84,2.73,0.95,4.08,1.0,1.39,0,0,6.8,0.0,3.96,1.77,2.73,0.0,0.0423
67.39,25958.89,385.21,2.56,0.96,4.71,0.77,1.31,0,0,7.07,0.0,3.79,1.59,2.53,0.0,0.0181
53.28,20350.14,381.98,2.75,0.95,4.08,0.85,1.41,0,0,6.98,0.0,3.89,1.8,2.75,0.0,0.0453
65.57,23621.33,360.22,3.71,0.99,6.1,0.78,1.47,0,0,7.49,0.0,3.78,2.72,3.71,0.0,0.0915
59.71,22655.52,379.44,3.12,0.95,5.92,0.55,1.38,0,0,7.24,0.0,3.84,2.17,3.12,0.0,0.0764
56.8,21528.37,379.02,3.17,0.97,5.3,0.65,1.38,0,0,7.06,0.0,3.86,2.19,3.17,0.0,0.0457
62.1,27826.13,448.09,1.47,0.67,2.75,0.98,0.91,0,0,7.17,0.0,3.6,0.81,1.47,0.0,0.0819
71.0,27198.38,383.09,3.17,0.95,5.47,0.88,1.32,0,0,7.56,0.0,4.0,2.22,3.17,0.0,0.0417
67.64,26251.88,388.12,3.13,0.94,6.08,0.92,1.38,0,0,7.56,0.0,3.79,2.19,3.13,0.0,0.0894
69.7,20901.24,299.88,4.59,0.94,4.88,1.0,1.75,0,0,6.87,0.0,3.95,3.65,4.59,0.0,0.0208
63.74,26488.78,415.59,2.55,0.92,3.74,1.03,1.28,0,0,7.39,0.0,3.95,1.63,2.52,0.0,0.0462
61.17,20234.71,330.8,4.58,0.98,4.91,1.0,1.8,0,0,7.24,0.0,4.32,3.6,4.58,0.0,0.0368
45.81,14986.82,327.13,4.24,1.0,5.64,0.88,1.6,0,0,7.03,0.0,3.89,3.24,4.24,0.0,0.0691
55.39,18550.57,334.93,4.19,0.99,5.59,0.94,1.67,0,0,6.97,0.0,4.48,3.2,4.19,0.0,0.0479
65.86,24783.91,376.32,2.82,0.97,4.01,0.81,1.49,0,0,6.93,0.0,3.92,1.85,2.82,0.0,0.0438
59.34,22993.17,387.46,2.98,0.95,4.89,0.94,1.41,0,0,7.23,0.0,4.15,2.03,2.98,0.0,0.0593
69.19,26109.29,377.35,3.45,0.97,5.94,1.0,1.44,0,0,7.68,0.0,4.07,2.48,3.45,0.0,0.0136
67.18,26047.88,387.73,2.76,0.96,5.37,1.11,1.32,0,0,7.33,0.0,3.91,1.81,2.74,0.0,0.0125
51.82,18928.97,365.28,2.33,0.98,3.06,0.41,1.5,0,0,6.1,0.0,3.79,1.36,2.33,0.0,0.0871
63.79,24795.28,388.73,2.61,0.96,4.35,0.78,1.31,0,0,7.02,0.0,4.04,1.65,2.61,0.0,0.0689
73.66,31591.21,428.86,2.01,0.77,3.58,0.89,1.11,0,0,7.67,0.0,3.73,1.24,2.01,0.0,0.0202
63.7,23257.99,365.1,3.53,0.99,4.1,0.94,1.61,0,0,7.27,0.0,4.11,2.53,3.53,0.0,0.0492
75.26,33442.55,444.34,1.52,0.65,2.56,0.95,0.81,0,0,7.67,0.0,3.5,0.87,1.52,0.0,0.023
55.17,18355.43,332.72,4.51,0.99,3.71,0.9,1.86,0,0,7.37,0.0,4.11,3.52,4.51,0.0,0.0622
63.38,25189.5,397.42,2.69,0.9,3.79,0.94,1.31,0,0,7.48,0.0,3.87,1.79,2.69,0.0,0.0701
61.9,22123.84,357.44,4.02,1.03,5.2,1.07,1.62,0,0,7.45,0.0,4.23,2.99,4.0,0.0,0.0492
71.84,28769.45,400.45,2.86,0.91,4.46,0.86,1.35,0,0,7.68,0.0,3.89,1.95,2.86,0.0,0.0428
54.8,21180.62,386.5,2.95,0.94,4.29,0.78,1.29,0,0,7.32,0.0,3.82,2.01,2.95,0.0,0.0466
64.5,24315.11,376.97,3.36,0.97,5.86,0.95,1.41,0,0,7.48,0.0,3.95,2.39,3.36,0.0,0.0799
65.28,23385.91,358.22,3.46,1.0,5.27,0.99,1.54,0,0,7.21,0.0,4.04,2.46,3.46,0.0,0.017
72.98,29788.45,408.17,2.59,0.91,4.2,0.9,1.28,0,0,7.49,0.0,4.03,1.68,2.59,0.0,0.0296
68.79,26670.21,387.68,3.18,0.94,5.69,0.71,1.4,0,0,7.46,0.0,3.88,2.23,3.18,0.0,0.0235
60.99,20769.76,340.55,4.26,1.0,5.18,0.9,1.57,0,0,7.38,0.0,3.81,3.26,4.26,0.0,0.0713
64.19,21495.79,334.86,4.07,1.03,5.98,1.33,1.69,0,0,7.34,0.0,4.11,3.04,4.05,0.0,0.0428
74.35,26625.81,358.13,3.86,1.0,5.56,0.71,1.56,0,0,7.63,0.0,4.1,2.86,3.86,0.0,0.0793
77.09,27526.04,357.08,3.66,0.99,5.91,0.41,1.55,0,0,7.47,0.0,4.13,2.67,3.66,0.0,0.0319
62.81,22463.97,357.66,3.76,1.0,5.26,0.94,1.57,0,0,7.38,0.0,4.15,2.76,3.76,0.0,0.0692
60.93,24077.17,395.14,2.86,0.97,4.8,0.96,1.42,0,0,7.15,0.0,4.18,1.89,2.86,0.0,0.0736
67.54,24095.81,356.75,3.73,0.99,6.09,0.22,1.58,0,0,7.46,0.0,4.0,2.74,3.73,0.0,0.0383
58.2,16424.55,282.2,4.5,0.9,4.45,0.91,1.74,0,0,6.62,0.0,3.86,3.6,4.5,0.0,0.0526
79.81,24159.53,302.71,4.86,0.95,5.6,1.0,1.84,0,0,7.31,0.0,4.31,3.9,4.86,0.0,0.0491
71.96,26236.59,364.58,3.65,0.98,5.32,0.95,1.49,0,0,7.58,0.0,4.09,2.67,3.65,0.0,0.0768
43.92,12499.23,284.57,4.83,0.92,3.98,0.33,1.82,0,0,6.7,0.0,4.08,3.91,4.83,0.0,0.0417
52.41,16781.21,320.22,4.23,0.98,5.39,0.72,1.7,0,0,6.86,0.0,4.13,3.25,4.23,0.0,0.1029
63.04,21197.38,336.26,4.39,1.0,5.67,0.7,1.71,0,0,7.47,0.0,4.07,3.39,4.39,0.0,0.1255
63.22,21677.32,342.9,3.73,1.0,5.65,1.0,1.65,0,0,7.11,0.0,4.1,2.73,3.73,0.0,0.0751
72.4,25793.74,356.25,3.78,1.03,5.74,1.0,1.65,0,0,7.46,0.0,4.12,2.75,3.76,0.0,0.0259
70.32,25551.4,363.35,3.39,0.98,6.13,0.9,1.57,0,0,7.36,0.0,3.98,2.41,3.39,0.0,0.0319
60.92,23619.28,387.72,3.01,0.94,5.47,0.57,1.37,0,0,7.29,0.0,3.91,2.08,3.01,0.0,0.0761
67.76,27305.46,402.94,2.46,0.87,4.7,0.62,1.33,0,0,7.52,0.0,3.89,1.59,2.46,0.0,0.0462
62.99,23436.8,372.1,2.85,0.97,4.47,0.93,1.46,0,0,7.14,0.0,3.83,1.89,2.85,0.0,0.0745
57.28,20678.78,361.03,3.67,0.99,5.17,0.24,1.51,0,0,7.27,0.0,3.99,2.68,3.67,0.0,0.0497
72.17,25942.01,359.47,3.9,1.03,5.79,1.1,1.56,0,0,7.6,0.0,4.0,2.88,3.88,0.0,0.0556
60.06,26297.58,437.85,1.44,0.68,3.16,0.91,0.91,0,0,7.18,0.0,3.52,0.76,1.44,0.0,0.0743
68.75,22882.27,332.82,4.04,1.0,4.91,0.97,1.77,0,0,7.32,0.0,4.16,3.04,4.04,0.0,0.0232
71.07,25525.54,359.16,3.7,0.99,5.7,0.98,1.61,0,0,7.53,0.0,3.87,2.72,3.7,0.0,0.0889
60.66,20247.56,333.77,3.88,0.99,4.66,0.58,1.9,0,0,6.82,0.0,4.18,2.89,3.88,0.0,0.0819
63.74,23191.74,363.82,3.0,1.0,4.73,0.93,1.53,0,0,6.95,0.0,4.17,2.01,3.0,0.0,0.0506
56.27,23672.62,420.68,1.77,0.76,3.43,0.93,1.07,0,0,7.07,0.0,3.57,1.0,1.77,0.0,0.077
64.76,25826.05,398.77,2.45,0.89,5.5,0.59,1.24,0,0,7.29,0.0,3.85,1.56,2.45,0.0,0.117
75.04,28929.12,385.52,2.93,0.96,5.66,0.71,1.52,0,0,7.38,0.0,4.16,1.98,2.93,0.0,0.0463
71.9,24069.0,334.77,4.41,1.0,5.51,0.99,1.69,0,0,7.51,0.0,4.23,3.42,4.41,0.0,0.0618
64.08,21177.99,330.49,3.6,1.0,4.89,0.96,1.63,0,0,6.81,0.0,4.02,2.6,3.6,0.0,0.0478
80.14,30693.24,383.0,2.8,0.94,3.87,0.69,1.34,0,0,7.4,0.0,4.02,1.86,2.8,0.0,0.0862
64.95,23031.6,354.63,3.69,1.0,4.66,0.32,1.69,0,0,7.25,0.0,4.1,2.69,3.69,0.0,0.0636
86.44,27944.41,323.27,4.61,0.98,6.28,0.22,1.87,0,0,7.5,0.0,4.31,3.63,4.61,0.0,0.0567
66.23,23382.49,353.03,3.82,1.0,5.84,0.5,1.77,0,0,7.12,0.0,4.16,2.82,3.82,0.0,0.0373
90.08,38569.16,428.15,2.07,0.81,4.11,1.0,1.07,0,0,7.26,0.0,3.7,1.25,2.03,0.0,0.105
51.48,12008.86,233.26,5.44,0.0,5.42,0.0,1.43,0,0,5.95,0.0,3.42,5.44,5.44,0.0,0.0533
57.15,20956.56,366.68,3.55,1.0,3.5,0.75,1.56,0,0,6.92,0.0,4.1,2.55,3.55,0.0,0.0903
68.13,29035.2,426.18,1.93,0.78,3.2,0.99,0.98,0,0,7.3,0.0,3.66,1.15,1.9,0.0,0.0351
65.98,28331.69,429.42,1.81,0.76,5.2,1.36,0.96,0,0,7.2,0.0,3.6,1.04,1.78,0.0,0.0097
70.35,28572.72,406.15,2.45,0.86,5.45,0.78,1.17,0,0,7.3,0.0,3.66,1.58,2.45,0.0,0.0198
