packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
59.17,66793.89,1128.78,3.39,1.64,3.42,1.87,3.52,4.11,3.66,2.81,2.81,2.4,2.05,0.46,1.64,0.0122
52.61,59161.99,1124.47,3.43,1.46,3.16,3.07,3.35,4.87,4.34,2.13,2.13,1.89,2.28,0.52,1.95,0.046
57.1,60154.39,1053.56,3.38,1.45,3.15,2.81,3.24,5.46,3.8,2.32,2.32,2.28,2.19,0.7,1.74,0.0283
58.13,66097.3,1137.11,3.24,1.71,2.95,2.65,3.24,3.81,3.72,2.58,2.58,2.18,1.8,0.26,1.7,0.0072
36.75,38732.34,1053.97,3.29,1.81,2.84,1.98,3.07,4.18,4.26,1.0,1.0,2.25,1.81,0.27,1.82,0.074
50.01,49841.56,996.57,3.44,1.99,3.2,2.57,3.28,3.8,5.19,2.0,2.0,2.56,1.93,0.26,2.4,0.057
62.44,71388.59,1143.34,3.36,1.44,3.3,2.27,3.57,4.3,3.91,2.0,2.0,2.15,2.19,0.35,1.81,0.01
60.27,69903.15,1159.91,3.23,1.74,3.46,2.66,3.06,3.94,3.75,2.0,2.0,2.24,1.85,0.23,1.54,0.0112
63.37,74883.97,1181.63,3.24,1.49,3.52,2.41,2.98,3.44,2.52,2.25,2.25,2.25,1.94,0.63,1.04,0.0067
53.9,52824.49,980.1,3.38,2.0,3.43,2.22,2.06,4.13,3.49,1.0,1.0,2.67,1.74,0.67,1.35,0.0272
55.52,55398.85,997.82,3.3,2.09,3.59,3.35,2.6,3.78,3.91,1.0,1.0,2.69,1.61,0.41,1.56,0.0281
55.56,51873.28,933.68,3.51,1.93,3.31,3.06,3.08,5.47,4.33,1.58,1.58,2.73,2.02,0.66,1.93,0.0645
77.59,73092.97,942.1,3.59,1.9,3.49,2.15,3.41,5.92,5.17,1.0,1.0,2.72,2.17,0.52,2.5,0.0312
89.23,84975.42,952.32,3.39,1.93,3.29,2.58,3.39,6.12,5.31,2.95,2.95,2.62,2.0,0.54,2.56,0.031
73.26,69678.86,951.09,3.43,1.68,3.27,2.41,3.1,6.12,4.18,2.75,2.75,2.61,2.09,0.84,1.96,0.047
91.3,85615.23,937.76,3.43,1.79,3.62,2.19,3.48,6.26,5.03,2.75,2.75,2.61,2.08,0.57,2.59,0.0304
51.06,58811.41,1151.74,3.34,1.54,3.12,1.87,3.61,3.82,3.58,2.81,2.81,2.26,2.07,0.31,1.6,0.045
54.17,61186.42,1129.63,3.44,1.44,3.41,3.09,3.34,4.87,4.34,2.13,2.13,1.87,2.3,0.52,1.98,0.0184
70.71,75584.49,1068.99,3.41,1.41,3.43,2.32,3.31,5.56,3.8,2.32,2.32,2.29,2.24,0.78,1.78,0.3745
92.19,105326.47,1142.55,3.19,1.56,3.35,1.47,3.17,3.71,3.06,2.58,2.58,2.17,1.86,0.51,1.39,0.0411
50.27,53638.91,1066.93,3.11,2.0,2.66,1.26,2.37,2.77,2.22,0.0,0.0,2.3,1.49,0.43,0.12,0.1653
70.63,77331.3,1094.92,3.47,1.56,3.44,1.51,3.44,5.25,4.48,2.52,2.52,2.28,2.24,0.57,2.16,0.0592
35.9,37424.18,1042.44,3.54,1.62,3.18,1.53,3.01,4.39,3.4,1.58,1.58,2.36,2.19,0.72,1.26,0.4958
72.46,75202.17,1037.86,3.46,1.68,3.34,1.95,3.16,5.26,4.06,2.32,2.32,2.52,2.09,0.7,1.89,0.0768
46.57,53566.98,1150.35,3.3,1.65,3.39,1.77,3.24,3.83,3.2,2.58,2.58,2.25,1.92,0.54,1.41,0.1257
34.95,37779.84,1080.89,3.29,1.81,2.81,2.43,3.09,3.77,4.52,0.0,0.0,2.19,1.89,0.16,1.6,0.0355
46.68,48521.15,1039.53,3.51,1.71,3.51,2.3,3.43,4.44,4.76,0.0,0.0,2.28,2.12,0.49,2.07,0.0515
58.1,61033.67,1050.49,3.4,1.63,3.43,2.64,3.21,4.97,4.57,1.58,1.58,2.3,2.15,0.36,2.19,0.0216
51.08,59561.59,1166.11,3.24,1.61,3.44,2.46,3.17,3.57,3.07,2.0,2.0,2.38,1.9,0.38,1.24,0.0411
57.02,64846.32,1137.24,3.32,1.52,3.43,2.56,3.08,3.81,2.73,1.92,1.92,2.27,1.99,0.74,1.12,0.0046
49.6,50297.98,1014.17,3.24,1.97,3.59,2.09,2.5,3.61,3.29,1.58,1.58,2.8,1.59,0.54,1.32,0.0483
55.37,51442.91,929.04,3.38,2.19,3.51,2.99,2.63,4.14,3.99,1.5,1.5,2.69,1.65,0.51,1.59,0.0639
64.96,64341.29,990.5,3.49,1.87,3.48,2.51,2.88,4.76,3.57,2.32,2.32,2.78,1.94,0.75,1.54,0.0618
57.27,50390.21,879.81,3.54,1.88,3.34,2.27,3.2,5.47,4.32,2.32,2.32,2.73,2.04,0.6,2.0,0.0424
